title: exp3_null, recorded: 21.11.18 16.02.51, timestamp started:2017-11-21T16:17:43.558438-08:00            , sampling:256, subject:, labels:COUNTER INTERPOLATED F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, , chan:40, samples:5000, units:emotiv,,,,,,,,,,,,,,,,,,,,,,,,,
60,16,4123.205128,4125.641025,4130,4125.641025,4122.692307,4125,4137.051282,4120.51282,4125.769231,4119.102564,4098.846154,4140.25641,4122.179487,4139.871795,0,0,,,,,,,,,,,,,,,,,
61,16,4114.230769,4119.615384,4116.410256,4118.076923,4120,4126.282051,4132.051282,4120.641025,4119.487179,4114.102564,4082.820512,4125.25641,4111.282051,4126.666666,0,0,,,,,,,,,,,,,,,,,
62,16,4113.974359,4115.641025,4114.230769,4115.25641,4120.25641,4126.794872,4133.205128,4123.846154,4120.51282,4116.282051,4084.615384,4117.564102,4108.974359,4120.641025,0,0,,,,,,,,,,,,,,,,,
63,16,4121.025641,4118.205128,4124.743589,4120.641025,4120.384615,4127.820513,4131.666666,4125.384615,4123.974359,4118.076923,4093.205128,4120.897436,4114.102564,4129.230769,0,0,,,,,,,,,,,,,,,,,
64,16,4119.743589,4126.794872,4124.743589,4123.076923,4125.641025,4127.051282,4132.051282,4123.333333,4131.153846,4121.282051,4098.974359,4130.769231,4120.25641,4138.333333,217,11,,,,,,,,,,,,,,,,,
65,16,4121.538461,4124.871795,4128.717948,4123.461538,4123.333333,4127.179487,4130.384615,4122.820513,4133.205128,4122.820513,4097.948718,4133.461538,4122.564102,4136.282051,241,12,,,,,,,,,,,,,,,,,
66,16,4117.948718,4113.846154,4120.897436,4120.897436,4116.923077,4127.948718,4127.692307,4123.974359,4127.820513,4118.846154,4091.153846,4124.102564,4119.743589,4128.205128,240,10,,,,,,,,,,,,,,,,,
67,16,4110.51282,4111.794872,4112.564102,4111.666666,4116.666666,4126.025641,4128.076923,4121.794872,4120.25641,4113.589743,4085.51282,4116.538461,4111.025641,4121.666666,63,12,,,,,,,,,,,,,,,,,
68,16,4114.487179,4117.051282,4119.102564,4111.666666,4120.641025,4128.717948,4126.923077,4120.128205,4122.564102,4120.128205,4090.897436,4118.589743,4111.923077,4125.51282,254,13,,,,,,,,,,,,,,,,,
69,16,4119.743589,4122.564102,4119.871795,4124.615384,4128.846154,4131.923077,4123.717948,4123.076923,4136.794872,4140.897436,4104.487179,4126.666666,4126.025641,4136.282051,234,8,,,,,,,,,,,,,,,,,
70,16,4124.487179,4121.794872,4125.769231,4127.307692,4122.051282,4127.435897,4120.641025,4125.128205,4132.948718,4138.846154,4106.282051,4132.307692,4128.846154,4138.205128,153,12,,,,,,,,,,,,,,,,,
71,16,4120.25641,4116.025641,4126.410256,4118.461538,4111.025641,4120.641025,4117.692307,4122.307692,4119.102564,4124.615384,4102.051282,4131.666666,4123.589743,4132.179487,62,5,,,,,,,,,,,,,,,,,
72,16,4120,4116.666666,4124.615384,4118.846154,4115.769231,4123.589743,4115.384615,4120.641025,4125.128205,4125.769231,4105.769231,4132.692307,4126.538461,4135.384615,131,12,,,,,,,,,,,,,,,,,
73,16,4128.205128,4122.051282,4127.179487,4125.25641,4124.743589,4128.846154,4116.923077,4123.717948,4134.871795,4130,4109.358974,4136.538461,4132.692307,4143.846154,141,13,,,,,,,,,,,,,,,,,
74,16,4116.538461,4122.948718,4119.487179,4123.205128,4130.25641,4126.410256,4117.179487,4124.871795,4131.153846,4141.153846,4108.974359,4136.025641,4134.487179,4136.025641,30,13,,,,,,,,,,,,,,,,,
75,16,4109.615384,4118.589743,4121.538461,4120.641025,4121.923077,4123.461538,4107.692307,4122.820513,4120.897436,4141.282051,4106.666666,4129.487179,4130.384615,4126.923077,16,13,,,,,,,,,,,,,,,,,
76,16,4115.384615,4117.435897,4121.410256,4122.820513,4114.102564,4123.589743,4103.461538,4121.410256,4119.487179,4120,4103.076923,4126.410256,4126.666666,4131.025641,5,13,,,,,,,,,,,,,,,,,
77,16,4114.871795,4118.717948,4116.666666,4117.179487,4119.358974,4124.230769,4111.410256,4122.307692,4122.564102,4116.282051,4097.307692,4124.871795,4126.153846,4134.230769,174,12,,,,,,,,,,,,,,,,,
78,16,4117.435897,4116.153846,4122.948718,4113.076923,4123.076923,4124.102564,4114.871795,4123.974359,4123.205128,4135.51282,4093.461538,4123.461538,4124.358974,4132.820513,30,13,,,,,,,,,,,,,,,,,
79,16,4119.743589,4116.410256,4119.358974,4118.717948,4125,4124.615384,4114.743589,4124.358974,4128.589743,4141.282051,4095.897436,4125.384615,4123.333333,4136.153846,16,13,,,,,,,,,,,,,,,,,
80,16,4121.025641,4116.666666,4118.333333,4118.076923,4120.897436,4125.25641,4113.589743,4123.333333,4128.717948,4125.384615,4092.820512,4123.974359,4122.307692,4139.230769,5,13,,,,,,,,,,,,,,,,,
81,16,4118.076923,4115.128205,4118.333333,4110.897436,4115.51282,4125.769231,4112.820513,4123.974359,4125,4124.230769,4090.384615,4119.743589,4122.820513,4132.179487,174,12,,,,,,,,,,,,,,,,,
82,16,4116.153846,4118.333333,4116.025641,4110.25641,4117.820513,4126.923077,4116.410256,4125.384615,4128.846154,4136.282051,4092.692307,4120.897436,4121.794872,4129.615384,30,13,,,,,,,,,,,,,,,,,
83,16,4119.743589,4118.333333,4118.974359,4113.205128,4119.615384,4124.871795,4113.333333,4122.435897,4124.871795,4122.564102,4086.410256,4121.538461,4115.128205,4132.820513,16,13,,,,,,,,,,,,,,,,,
84,16,4115,4113.717948,4113.846154,4111.794872,4119.487179,4120.25641,4108.589743,4119.871795,4116.666666,4102.564102,4084.615384,4117.435897,4113.846154,4129.871795,5,13,,,,,,,,,,,,,,,,,
85,16,4113.589743,4110.384615,4117.179487,4108.974359,4112.692307,4120.897436,4108.076923,4122.692307,4114.230769,4102.948718,4083.846154,4114.743589,4110.769231,4123.461538,174,12,,,,,,,,,,,,,,,,,
86,16,4112.564102,4110.769231,4118.461538,4111.153846,4109.487179,4123.461538,4109.487179,4122.179487,4118.846154,4112.564102,4079.102564,4112.692307,4106.410256,4121.794872,30,13,,,,,,,,,,,,,,,,,
87,16,4105.384615,4112.564102,4109.743589,4112.820513,4112.435897,4121.794872,4111.923077,4119.230769,4121.923077,4119.487179,4079.615384,4113.589743,4110.641025,4123.333333,16,13,,,,,,,,,,,,,,,,,
88,16,4109.743589,4110.51282,4111.794872,4111.538461,4110.128205,4121.410256,4112.820513,4121.153846,4113.717948,4118.333333,4080.897436,4114.487179,4108.974359,4121.666666,5,13,,,,,,,,,,,,,,,,,
89,16,4114.487179,4111.794872,4112.820513,4115.769231,4114.871795,4124.358974,4116.410256,4123.333333,4115.384615,4120.384615,4087.564102,4113.589743,4108.846154,4122.179487,174,12,,,,,,,,,,,,,,,,,
90,16,4116.923077,4115.128205,4118.205128,4120.769231,4120.25641,4126.025641,4117.692307,4121.282051,4118.205128,4117.564102,4089.358974,4114.871795,4111.410256,4124.102564,30,13,,,,,,,,,,,,,,,,,
91,16,4117.564102,4116.282051,4119.743589,4118.333333,4117.692307,4123.974359,4114.102564,4119.230769,4113.717948,4113.461538,4083.846154,4120.128205,4109.487179,4124.358974,16,13,,,,,,,,,,,,,,,,,
